This file was created using the 202403 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
200909   ,6.46   ,5.92   ,5.82   ,6.88   ,6.49   ,5.75
200910  ,-0.04   ,1.54   ,1.86  ,-2.01  ,-3.17  ,-1.04
200911   ,0.44   ,0.49  ,-0.78   ,2.32   ,3.18   ,2.57
200912  ,-2.76  ,-2.50  ,-2.50   ,0.41   ,0.17   ,1.55
201001   ,0.55  ,-0.86  ,-0.30  ,-2.78  ,-3.85  ,-3.92
201002  ,-3.14  ,-2.32  ,-3.33  ,-2.33  ,-2.87  ,-1.76
201003   ,3.84   ,3.95   ,2.91   ,7.23   ,6.89   ,7.97
201004   ,1.06   ,0.60   ,1.48  ,-1.23  ,-1.22  ,-0.08
201005 ,-11.68 ,-10.20 ,-11.95 ,-12.68 ,-12.06 ,-13.09
201006  ,-0.66   ,0.05  ,-0.24  ,-1.05  ,-1.38  ,-1.07
201007   ,8.55   ,9.09   ,8.23  ,12.82  ,12.24  ,11.66
201008  ,-3.34  ,-2.90  ,-3.53  ,-5.64  ,-4.26  ,-3.22
201009  ,11.00   ,9.82  ,11.64  ,14.73  ,12.12  ,11.35
201010   ,4.72   ,4.55   ,4.11   ,4.90   ,5.36   ,4.92
201011  ,-6.55  ,-7.22  ,-6.18  ,-7.43  ,-7.83  ,-7.45
201012   ,9.79   ,8.30   ,7.93  ,12.04   ,9.81  ,10.39
201101   ,7.00   ,6.07   ,6.10   ,3.27   ,3.26   ,3.00
201102   ,3.13   ,2.23   ,2.34   ,3.20   ,2.99   ,2.40
201103   ,0.30   ,1.21   ,1.25   ,1.24   ,1.50   ,0.98
201104   ,6.68   ,6.99   ,6.79   ,7.73   ,8.27   ,7.36
201105  ,-2.39  ,-2.79  ,-3.40  ,-3.56  ,-3.29  ,-2.87
201106  ,-3.58  ,-2.50  ,-3.39  ,-3.53  ,-2.26  ,-3.09
201107  ,-1.06  ,-2.48  ,-1.96  ,-4.04  ,-5.14  ,-3.60
201108  ,-7.56  ,-7.75  ,-7.73 ,-10.48 ,-10.15  ,-7.76
201109 ,-11.34 ,-11.07 ,-11.48 ,-12.02 ,-13.28 ,-13.94
201110   ,3.93   ,5.71   ,6.50   ,9.19  ,10.51  ,11.67
201111  ,-7.23  ,-6.64  ,-7.58  ,-6.97  ,-6.06  ,-3.29
201112  ,-3.58  ,-2.52  ,-2.56  ,-2.25  ,-3.67  ,-3.50
201201   ,9.29   ,8.13   ,9.71   ,8.63  ,11.41   ,9.79
201202   ,6.87   ,7.23   ,8.47   ,7.63   ,6.14  ,10.19
201203   ,0.05   ,1.21  ,-0.12   ,0.85   ,0.08  ,-0.49
201204  ,-2.34  ,-2.25  ,-1.51  ,-3.14  ,-1.84  ,-0.85
201205 ,-11.13 ,-12.01 ,-12.09 ,-13.68 ,-13.24 ,-14.52
201206   ,2.00   ,2.85   ,1.83   ,7.66   ,6.69   ,6.18
201207  ,-2.21  ,-0.97  ,-1.70  ,-1.03   ,0.67   ,2.04
201208   ,5.02   ,5.47   ,3.94   ,6.04   ,5.11   ,3.41
201209   ,5.07   ,4.78   ,3.40   ,3.66   ,4.21   ,4.22
201210   ,0.68   ,0.62   ,0.24   ,1.28   ,1.99   ,1.01
201211  ,-0.88  ,-0.25  ,-0.87   ,0.23   ,2.28   ,1.40
201212   ,5.63   ,4.44   ,3.81   ,4.61   ,3.97   ,2.36
201301   ,9.95   ,8.06   ,7.83   ,7.28   ,5.76   ,5.86
201302  ,-3.77  ,-2.11  ,-1.93  ,-2.09  ,-1.96  ,-1.31
201303  ,-2.19  ,-1.50  ,-2.41  ,-1.25  ,-1.23  ,-1.09
201304   ,1.78   ,3.08   ,0.94   ,4.34   ,4.41   ,3.45
201305   ,1.10   ,0.75   ,0.67   ,1.16   ,1.02   ,1.69
201306  ,-1.65  ,-1.22  ,-2.39  ,-3.76  ,-4.78  ,-5.28
201307   ,4.14   ,4.85   ,4.37   ,7.73   ,8.66   ,8.07
201308   ,4.86   ,2.66   ,3.10  ,-0.27  ,-0.72  ,-0.54
201309   ,7.95   ,6.36   ,7.44   ,7.54   ,6.91   ,6.47
201310   ,4.44   ,4.53   ,3.50   ,5.59   ,4.73   ,3.54
201311   ,2.30   ,2.30   ,2.13   ,1.54   ,1.32   ,0.80
201312   ,1.29   ,2.96   ,1.97   ,3.05   ,2.59   ,2.90
201401   ,3.84   ,1.83   ,1.62  ,-1.46  ,-2.28  ,-3.38
201402   ,6.66   ,5.99   ,6.56   ,7.50   ,8.25   ,7.84
201403  ,-0.31   ,0.28  ,-1.08  ,-0.27  ,-0.34  ,-0.88
201404   ,0.33   ,1.70   ,0.87   ,0.73   ,1.47   ,1.35
201405  ,-0.35  ,-0.27  ,-0.43   ,0.93   ,0.62   ,0.30
201406   ,0.78   ,0.49   ,0.57  ,-0.67  ,-0.63  ,-0.21
201407  ,-2.81  ,-3.59  ,-3.64  ,-4.71  ,-4.67  ,-4.45
201408  ,-1.94  ,-1.59  ,-1.47  ,-1.38  ,-0.24   ,0.14
201409  ,-5.53  ,-3.96  ,-4.79  ,-4.56  ,-5.03  ,-4.86
201410  ,-6.21  ,-4.34  ,-5.29  ,-3.40  ,-1.74  ,-2.23
201411  ,-0.13  ,-0.11  ,-0.88   ,2.93   ,2.23   ,1.81
201412  ,-4.24  ,-2.52  ,-3.40  ,-5.00  ,-2.13  ,-2.25
201501  ,-3.41  ,-3.38  ,-3.67  ,-1.85   ,0.19  ,-0.70
201502   ,6.38   ,5.22   ,4.60   ,8.38   ,6.67   ,7.06
201503  ,-2.18  ,-2.48  ,-3.17  ,-1.36  ,-2.88  ,-3.10
201504   ,6.97   ,6.52   ,7.32   ,5.44   ,5.27   ,6.40
201505   ,0.78   ,0.94   ,0.60  ,-0.86  ,-0.73   ,1.29
201506   ,0.00   ,0.17  ,-0.02  ,-2.78  ,-3.12  ,-1.88
201507  ,-0.91   ,1.48   ,0.81   ,0.96   ,2.55   ,1.79
201508  ,-1.57  ,-1.66  ,-2.04  ,-5.84  ,-4.78  ,-4.97
201509  ,-2.59  ,-2.19  ,-2.72  ,-4.77  ,-4.11  ,-3.54
201510   ,2.05   ,2.17   ,2.20   ,6.12   ,5.98   ,5.61
201511  ,-4.17  ,-2.52  ,-1.37  ,-1.77  ,-1.08  ,-0.79
201512   ,0.77   ,1.18   ,2.27  ,-2.53  ,-0.75  ,-1.37
201601  ,-4.22  ,-4.98  ,-5.74  ,-7.65  ,-6.69  ,-8.02
201602  ,-0.82  ,-0.30  ,-1.31  ,-0.85  ,-0.75  ,-0.45
201603   ,8.77   ,8.21   ,7.33   ,8.45   ,7.42   ,9.45
201604   ,3.98   ,4.22   ,3.59   ,4.45   ,1.98   ,1.42
201605  ,-1.42  ,-0.63  ,-1.17  ,-2.12  ,-0.40   ,0.50
201606  ,-5.78  ,-5.51  ,-7.30  ,-6.06  ,-7.12  ,-6.70
201607   ,4.83   ,4.46   ,4.97   ,5.61   ,5.13   ,6.12
201608   ,2.81   ,2.19   ,4.25   ,1.57   ,1.28   ,1.22
201609   ,1.51   ,1.75   ,2.09   ,1.27   ,0.91   ,1.06
201610  ,-2.75  ,-2.60  ,-3.83  ,-2.25  ,-3.12  ,-5.12
201611  ,-1.43  ,-1.95  ,-1.86  ,-1.59  ,-2.80  ,-3.47
201612   ,2.99   ,3.77   ,2.46   ,5.01   ,4.34   ,3.73
201701   ,9.16   ,6.27   ,7.38   ,4.21   ,3.20   ,3.79
201702   ,0.52   ,0.76  ,-0.07   ,0.35   ,1.02   ,1.22
201703   ,3.13   ,2.75   ,1.69   ,4.31   ,4.65   ,3.68
201704   ,4.45   ,6.16   ,4.67   ,5.04   ,5.92   ,6.04
201705   ,4.50   ,5.66   ,4.29   ,4.26   ,5.31   ,5.21
201706   ,2.10   ,2.62   ,1.72   ,0.21  ,-0.21  ,-1.37
201707   ,4.47   ,5.24   ,3.80   ,4.65   ,3.42   ,4.50
201708  ,-0.48   ,0.11  ,-0.16   ,0.30   ,1.89  ,-0.24
201709   ,1.59   ,1.86   ,3.23   ,3.09   ,2.88   ,2.74
201710  ,-0.76  ,-0.49  ,-0.24   ,0.90   ,0.93   ,0.42
201711   ,0.09   ,0.29   ,0.20   ,0.40   ,0.27  ,-0.68
201712   ,2.08   ,2.33   ,1.83   ,2.07   ,2.12   ,2.01
201801   ,9.98   ,7.03   ,8.10   ,6.58   ,5.70   ,5.82
201802  ,-3.71  ,-3.73  ,-4.99  ,-4.49  ,-4.66  ,-3.15
201803  ,-1.69  ,-0.71  ,-2.01  ,-0.74  ,-1.02  ,-0.70
201804  ,-0.28   ,0.63   ,1.17   ,2.26   ,1.44   ,2.16
201805  ,-2.42  ,-1.16  ,-1.81  ,-3.08  ,-2.39  ,-0.24
201806  ,-1.55  ,-1.38  ,-1.64  ,-1.49  ,-0.94  ,-0.19
201807  ,-0.01   ,0.80   ,1.38   ,3.46   ,2.09   ,2.37
201808  ,-1.30  ,-1.40  ,-1.08  ,-2.35  ,-1.59  ,-0.45
201809  ,-1.00  ,-0.63   ,0.11   ,0.44  ,-0.49  ,-1.21
201810  ,-9.62  ,-7.97 ,-10.62  ,-8.97  ,-8.21 ,-10.60
201811  ,-3.07  ,-1.95  ,-2.72  ,-2.38  ,-1.56  ,-2.40
201812  ,-4.38  ,-3.20  ,-4.93  ,-4.35  ,-3.80  ,-5.52
201901   ,7.09   ,6.08   ,6.62   ,6.76   ,7.27   ,8.82
201902   ,1.50   ,1.05  ,-0.05   ,2.95   ,2.80   ,3.34
201903  ,-0.75  ,-0.64  ,-1.70  ,-0.56  ,-0.27   ,0.53
201904   ,3.81   ,4.12   ,2.86   ,4.33   ,4.60   ,6.06
201905  ,-3.51  ,-2.89  ,-3.52  ,-6.39  ,-5.88  ,-6.24
201906   ,3.62   ,3.46   ,3.17   ,5.92   ,6.54   ,6.03
201907  ,-1.50  ,-2.42  ,-2.04  ,-2.72  ,-2.87  ,-1.83
201908  ,-1.84  ,-2.71  ,-4.00  ,-3.38  ,-1.84  ,-2.25
201909   ,0.59   ,1.57   ,0.85   ,3.24   ,2.56   ,1.54
201910   ,2.91   ,2.54   ,3.45   ,4.24   ,4.20   ,4.74
201911   ,1.49   ,2.04   ,3.65   ,1.41   ,2.26   ,3.96
201912   ,5.76   ,5.32   ,5.82   ,4.40   ,4.15   ,4.74
202001   ,1.41   ,0.72   ,0.33  ,-3.63  ,-2.80  ,-0.80
202002  ,-8.36  ,-7.64  ,-8.98  ,-9.70  ,-8.09  ,-8.68
202003 ,-17.72 ,-18.30 ,-18.78 ,-20.99 ,-17.07 ,-17.04
202004  ,17.33  ,11.80  ,14.86   ,7.49   ,8.52  ,11.79
202005   ,5.38   ,5.14   ,6.91   ,3.82   ,5.37   ,9.77
202006   ,5.39   ,3.20   ,5.26   ,4.55   ,2.96   ,2.00
202007   ,8.23   ,6.93   ,9.37   ,4.84   ,4.77   ,5.95
202008   ,8.51   ,6.43   ,9.02   ,6.22   ,6.37   ,6.44
202009  ,-1.82  ,-2.81  ,-2.90  ,-4.74  ,-2.58  ,-0.99
202010  ,-2.10  ,-2.46  ,-3.98  ,-4.62  ,-3.81  ,-4.74
202011  ,17.28  ,17.16  ,17.21  ,19.50  ,17.95  ,15.55
202012   ,9.95  ,10.37  ,10.98   ,6.11   ,5.77   ,6.51
202101   ,4.15   ,2.10   ,2.79  ,-0.77  ,-1.30   ,0.05
202102   ,6.27   ,5.02   ,5.81   ,3.53   ,3.32   ,1.40
202103   ,2.62   ,2.62   ,1.32   ,2.46   ,4.04   ,1.18
202104   ,7.02   ,7.13   ,7.16   ,4.16   ,4.66   ,6.60
202105   ,3.32   ,3.91   ,2.53   ,4.41   ,4.29   ,3.57
202106  ,-2.51  ,-1.83  ,-2.27  ,-2.79  ,-2.14  ,-1.08
202107  ,-0.16   ,1.38   ,0.82   ,1.37   ,3.43   ,3.18
202108   ,1.69   ,1.67   ,2.52   ,0.46   ,1.42   ,2.89
202109  ,-2.89  ,-3.58  ,-4.50  ,-4.03  ,-5.18  ,-6.18
202110   ,1.08   ,2.17   ,1.17   ,2.30   ,4.49   ,2.86
202111  ,-5.92  ,-4.17  ,-6.05  ,-5.77  ,-4.26  ,-4.67
202112   ,2.54   ,3.12   ,2.41   ,5.97   ,5.44   ,3.07
202201  ,-3.35  ,-3.35  ,-6.24  ,-2.94  ,-5.66  ,-9.82
202202  ,-4.63  ,-3.85  ,-7.56  ,-4.33  ,-3.61  ,-5.01
202203   ,1.39   ,1.01   ,0.88  ,-2.22  ,-0.01  ,-2.58
202204  ,-5.79  ,-5.28  ,-7.75  ,-4.03  ,-5.64  ,-9.64
202205  ,-0.25  ,-0.09  ,-2.31   ,2.06   ,0.90   ,0.88
202206 ,-10.06  ,-8.30 ,-11.26 ,-11.94 ,-11.32 ,-14.73
202207   ,1.30   ,2.20   ,2.58   ,3.48   ,4.84   ,7.87
202208  ,-3.63  ,-4.37  ,-5.83  ,-6.27  ,-6.54  ,-7.49
202209 ,-11.28 ,-11.72 ,-14.71 ,-11.12 ,-10.40 ,-12.52
202210   ,3.29   ,4.49   ,3.39   ,8.78   ,7.12   ,7.53
202211   ,8.46   ,8.86   ,7.59  ,11.53  ,12.52  ,13.09
202212   ,0.69   ,1.74  ,-0.30  ,-0.16  ,-0.03  ,-0.45
202301   ,7.40   ,7.12   ,8.04  ,10.14   ,9.45   ,8.20
202302  ,-1.75  ,-1.07  ,-2.41   ,0.14  ,-1.13  ,-1.31
202303  ,-1.51  ,-1.19  ,-3.44   ,0.42   ,0.91   ,0.79
202304   ,1.87   ,2.26   ,1.42   ,4.58   ,3.36   ,2.52
202305  ,-5.09  ,-4.74  ,-6.32  ,-5.23  ,-5.48  ,-5.57
202306   ,1.95   ,2.27   ,0.25   ,4.08   ,4.13   ,4.33
202307   ,3.15   ,3.25   ,3.37   ,4.42   ,4.16   ,3.65
202308  ,-5.26  ,-3.47  ,-6.23  ,-3.97  ,-3.85  ,-5.41
202309  ,-5.64  ,-5.77  ,-5.84  ,-4.06  ,-4.80  ,-5.76
202310  ,-6.56  ,-5.34  ,-7.30  ,-3.66  ,-4.48  ,-6.34
202311   ,6.57   ,7.72   ,8.85  ,10.58  ,10.54  ,13.03
202312   ,6.55   ,6.71   ,7.60   ,5.81   ,5.90   ,8.14
202401  ,-1.11  ,-1.01  ,-2.87  ,-1.01  ,-2.43  ,-3.54
202402  ,-2.11  ,-2.49  ,-2.77   ,0.76   ,0.46   ,1.60
202403   ,0.07   ,1.29  ,-0.15   ,4.04   ,3.54   ,3.10



  Average Value Weighted Returns -- Annual
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
1991  ,-1.79   ,6.24  ,-1.87   ,6.79  ,14.69  ,11.34
1992 ,-18.28 ,-16.20 ,-20.89  ,-6.86  ,-4.65  ,-9.67
1993  ,40.70  ,33.21  ,26.74  ,33.08  ,29.91  ,20.07
1994  ,12.30  ,14.98   ,9.43   ,4.05   ,4.46  ,-1.63
1995   ,3.93   ,9.69  ,12.64  ,16.00  ,19.91  ,22.17
1996  ,16.43  ,19.49  ,23.09  ,20.73  ,22.69  ,20.22
1997  ,10.37  ,12.14   ,9.05  ,22.74  ,19.50  ,21.52
1998  ,12.00  ,12.00  ,11.37  ,22.79  ,23.68  ,35.44
1999  ,22.07  ,15.92  ,45.45  ,15.86  ,12.42  ,34.06
2000  ,-2.23  ,-1.58 ,-27.85  ,-6.86  ,-8.76 ,-12.60
2001  ,-9.38 ,-10.95 ,-33.55 ,-13.62 ,-21.20 ,-24.81
2002   ,3.20   ,4.19 ,-18.89  ,-8.55  ,-9.95 ,-23.78
2003  ,67.85  ,60.30  ,52.94  ,43.93  ,39.38  ,38.75
2004  ,32.90  ,36.00  ,31.86  ,20.10  ,26.14  ,22.15
2005  ,19.98  ,16.40  ,19.56   ,9.24  ,11.76  ,11.45
2006  ,44.02  ,45.85  ,44.87  ,35.69  ,33.31  ,42.12
2007   ,4.32  ,10.20   ,5.15  ,21.95  ,12.47  ,12.30
2008 ,-46.01 ,-46.88 ,-58.36 ,-40.35 ,-44.78 ,-50.82
2009  ,43.31  ,48.71  ,55.06  ,30.36  ,35.02  ,36.94
2010  ,12.39  ,15.74  ,12.96   ,3.55   ,4.79   ,9.14
2011 ,-20.32 ,-19.01 ,-20.59 ,-14.79 ,-12.55  ,-9.70
2012  ,25.55  ,24.28  ,19.85  ,19.05  ,21.43  ,21.34
2013  ,36.61  ,38.71  ,33.39  ,36.14  ,25.67  ,21.84
2014  ,-8.48  ,-7.24  ,-8.17  ,-9.38  ,-3.86  ,-6.65
2015   ,4.88   ,6.94  ,12.04  ,-5.36  ,-1.61   ,4.51
2016   ,7.57   ,6.20  ,-0.23   ,7.58  ,-2.37  ,-6.59
2017  ,30.21  ,36.10  ,37.90  ,28.58  ,29.85  ,25.87
2018 ,-23.01 ,-16.01 ,-17.21 ,-16.29 ,-11.24 ,-16.24
2019  ,24.33  ,20.91  ,21.89  ,18.24  ,25.29  ,30.96
2020  ,10.63  ,13.25  ,31.96  ,-4.33  ,11.15  ,21.84
2021  ,12.70  ,18.56  ,15.86  ,13.03  ,18.19  ,20.08
2022 ,-16.90 ,-18.69 ,-32.92 ,-15.24 ,-12.58 ,-22.82
2023  ,11.01  ,17.17   ,5.61  ,23.33  ,17.39  ,17.31



  Average Equal Weighted Returns -- Annual
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
1991   ,3.92   ,6.27   ,0.67   ,6.68   ,8.31   ,2.17
1992 ,-16.28 ,-15.12 ,-23.65 ,-12.80 ,-10.14 ,-14.67
1993  ,56.64  ,42.54  ,36.01  ,38.25  ,36.77  ,26.56
1994  ,22.09  ,21.77  ,13.83   ,7.69   ,8.57   ,4.48
1995   ,6.59  ,10.28  ,13.51   ,9.28  ,15.80   ,9.22
1996  ,19.07  ,19.29  ,20.99  ,18.91  ,21.37  ,20.83
1997  ,11.71  ,11.40   ,6.87  ,15.93  ,13.60  ,18.31
1998  ,13.99  ,14.36  ,10.94  ,17.36  ,23.99  ,21.78
1999  ,35.88  ,28.92  ,48.14  ,16.31   ,7.04  ,25.78
2000   ,0.12  ,-2.08 ,-19.48   ,2.39   ,2.18 ,-16.85
2001  ,-7.66  ,-7.22 ,-33.84 ,-12.23 ,-10.84 ,-28.66
2002   ,2.11   ,2.85 ,-22.92  ,-4.32  ,-2.06 ,-19.52
2003  ,81.53  ,64.90  ,61.07  ,58.39  ,52.33  ,56.40
2004  ,25.54  ,32.07  ,26.71  ,25.74  ,32.11  ,30.07
2005  ,16.03  ,16.25  ,11.88  ,16.81  ,13.43  ,16.94
2006  ,39.45  ,41.49  ,32.54  ,42.11  ,44.04  ,45.45
2007   ,7.75  ,12.25  ,-0.28  ,10.06   ,9.90   ,8.47
2008 ,-48.38 ,-47.74 ,-58.52 ,-45.16 ,-45.85 ,-57.01
2009  ,63.93  ,54.51  ,60.75  ,48.08  ,48.92  ,73.09
2010  ,12.20  ,11.19   ,8.64  ,15.45   ,9.89  ,12.93
2011 ,-16.25 ,-14.35 ,-15.85 ,-18.85 ,-18.35 ,-14.16
2012  ,17.66  ,19.08  ,14.22  ,22.61  ,28.59  ,24.90
2013  ,33.60  ,34.74  ,27.56  ,34.51  ,29.14  ,26.54
2014 ,-10.16  ,-6.37 ,-11.33  ,-9.64  ,-5.02  ,-7.20
2015   ,1.46   ,5.04   ,4.29  ,-1.92   ,2.38   ,5.03
2016   ,7.79   ,7.97   ,2.37   ,4.66  ,-0.92  ,-1.72
2017  ,35.07  ,38.78  ,31.93  ,33.94  ,36.09  ,30.58
2018 ,-18.37 ,-13.44 ,-18.39 ,-14.90 ,-14.97 ,-14.08
2019  ,20.28  ,18.39  ,15.43  ,21.08  ,25.16  ,32.48
2020  ,45.04  ,28.63  ,38.64   ,2.94  ,13.65  ,23.14
2021  ,17.69  ,20.66  ,13.69  ,11.10  ,18.91  ,12.86
2022 ,-22.82 ,-18.67 ,-36.11 ,-18.22 ,-18.79 ,-31.44
2023   ,0.24   ,6.61  ,-3.89  ,23.90  ,18.41  ,14.96



  Number of Firms in Portfolios
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199007    ,619    ,542    ,786    ,266    ,355    ,269
199008    ,619    ,542    ,785    ,266    ,355    ,269
199009    ,619    ,542    ,784    ,266    ,355    ,269
199010    ,619    ,542    ,784    ,266    ,353    ,269
199011    ,619    ,542    ,784    ,266    ,352    ,269
199012    ,619    ,542    ,783    ,266    ,352    ,269
199101    ,619    ,541    ,783    ,265    ,352    ,268
199102    ,619    ,541    ,782    ,264    ,352    ,268
199103    ,619    ,541    ,782    ,264    ,352    ,268
199104    ,619    ,540    ,782    ,264    ,351    ,268
199105    ,618    ,540    ,781    ,264    ,351    ,268
199106    ,618    ,540    ,781    ,264    ,351    ,267
199107    ,813    ,682    ,785    ,265    ,356    ,272
199108    ,813    ,682    ,785    ,265    ,355    ,272
199109    ,812    ,682    ,785    ,263    ,354    ,272
199110    ,812    ,682    ,785    ,263    ,354    ,272
199111    ,811    ,681    ,784    ,263    ,353    ,271
199112    ,810    ,680    ,782    ,263    ,353    ,271
199201    ,809    ,676    ,778    ,263    ,352    ,269
199202    ,806    ,676    ,778    ,263    ,352    ,269
199203    ,804    ,676    ,778    ,262    ,352    ,269
199204    ,804    ,676    ,777    ,261    ,352    ,269
199205    ,802    ,675    ,775    ,260    ,352    ,269
199206    ,802    ,674    ,774    ,259    ,352    ,269
199207   ,1368    ,694    ,686    ,280    ,374    ,286
199208   ,1367    ,694    ,686    ,279    ,372    ,286
199209   ,1365    ,692    ,685    ,279    ,371    ,286
199210   ,1359    ,691    ,684    ,278    ,371    ,286
199211   ,1359    ,691    ,682    ,278    ,371    ,286
199212   ,1355    ,690    ,681    ,278    ,371    ,286
199301   ,1347    ,690    ,679    ,278    ,370    ,284
199302   ,1344    ,690    ,678    ,278    ,370    ,284
199303   ,1340    ,690    ,677    ,278    ,370    ,284
199304   ,1337    ,690    ,676    ,278    ,369    ,284
199305   ,1333    ,687    ,676    ,278    ,369    ,283
199306   ,1331    ,684    ,676    ,277    ,367    ,283
199307   ,1437    ,856    ,724    ,288    ,383    ,288
199308   ,1436    ,852    ,721    ,288    ,383    ,288
199309   ,1431    ,851    ,720    ,288    ,383    ,288
199310   ,1430    ,851    ,720    ,287    ,383    ,288
199311   ,1425    ,851    ,720    ,286    ,383    ,287
199312   ,1423    ,851    ,720    ,286    ,383    ,287
199401   ,1422    ,851    ,720    ,285    ,383    ,287
199402   ,1419    ,850    ,719    ,285    ,383    ,286
199403   ,1414    ,849    ,719    ,285    ,382    ,286
199404   ,1410    ,849    ,718    ,284    ,381    ,286
199405   ,1404    ,848    ,713    ,284    ,380    ,286
199406   ,1403    ,845    ,713    ,284    ,378    ,285
199407   ,1415    ,919    ,855    ,330    ,439    ,330
199408   ,1414    ,918    ,854    ,330    ,439    ,330
199409   ,1411    ,917    ,854    ,330    ,437    ,330
199410   ,1410    ,915    ,852    ,329    ,437    ,330
199411   ,1401    ,912    ,851    ,328    ,437    ,330
199412   ,1401    ,910    ,850    ,328    ,437    ,329
199501   ,1397    ,906    ,849    ,325    ,435    ,327
199502   ,1386    ,906    ,849    ,325    ,435    ,327
199503   ,1382    ,905    ,849    ,325    ,435    ,327
199504   ,1377    ,903    ,845    ,324    ,434    ,326
199505   ,1373    ,903    ,845    ,324    ,433    ,326
199506   ,1366    ,900    ,844    ,324    ,433    ,326
199507   ,1247   ,1053   ,1165    ,330    ,439    ,330
199508   ,1240   ,1052   ,1161    ,329    ,438    ,329
199509   ,1237   ,1051   ,1160    ,329    ,437    ,328
199510   ,1235   ,1051   ,1158    ,329    ,436    ,328
199511   ,1229   ,1045   ,1155    ,328    ,435    ,326
199512   ,1222   ,1043   ,1150    ,327    ,433    ,325
199601   ,1213   ,1036   ,1144    ,325    ,432    ,322
199602   ,1211   ,1032   ,1140    ,323    ,429    ,320
199603   ,1207   ,1028   ,1138    ,323    ,428    ,318
199604   ,1198   ,1025   ,1136    ,323    ,427    ,318
199605   ,1189   ,1023   ,1131    ,319    ,427    ,316
199606   ,1185   ,1019   ,1129    ,318    ,426    ,315
199607   ,1465   ,1095   ,1137    ,317    ,428    ,318
199608   ,1462   ,1094   ,1136    ,315    ,426    ,317
199609   ,1452   ,1089   ,1128    ,313    ,422    ,316
199610   ,1443   ,1082   ,1126    ,311    ,420    ,315
199611   ,1439   ,1077   ,1122    ,310    ,418    ,315
199612   ,1434   ,1072   ,1118    ,310    ,418    ,313
199701   ,1423   ,1065   ,1113    ,308    ,416    ,312
199702   ,1417   ,1061   ,1110    ,307    ,416    ,310
199703   ,1408   ,1058   ,1108    ,307    ,415    ,310
199704   ,1403   ,1053   ,1104    ,307    ,414    ,310
199705   ,1395   ,1051   ,1100    ,304    ,412    ,308
199706   ,1386   ,1047   ,1096    ,304    ,411    ,307
199707   ,1693   ,1164   ,1123    ,290    ,389    ,292
199708   ,1685   ,1160   ,1116    ,289    ,389    ,292
199709   ,1680   ,1158   ,1115    ,289    ,388    ,292
199710   ,1671   ,1157   ,1109    ,289    ,388    ,292
199711   ,1657   ,1151   ,1104    ,289    ,386    ,292
199712   ,1648   ,1147   ,1099    ,289    ,386    ,292
199801   ,1633   ,1140   ,1089    ,287    ,384    ,292
199802   ,1626   ,1137   ,1088    ,286    ,383    ,291
199803   ,1619   ,1128   ,1082    ,285    ,380    ,289
199804   ,1607   ,1120   ,1075    ,285    ,379    ,288
199805   ,1599   ,1115   ,1071    ,284    ,378    ,288
199806   ,1593   ,1104   ,1067    ,283    ,377    ,287
199807   ,1861   ,1288   ,1430    ,274    ,365    ,274
199808   ,1845   ,1280   ,1426    ,274    ,365    ,273
199809   ,1826   ,1270   ,1420    ,273    ,361    ,273
199810   ,1813   ,1266   ,1415    ,271    ,358    ,273
199811   ,1799   ,1255   ,1410    ,269    ,357    ,272
199812   ,1779   ,1249   ,1400    ,265    ,354    ,272
199901   ,1753   ,1236   ,1394    ,260    ,348    ,270
199902   ,1748   ,1229   ,1386    ,258    ,347    ,270
199903   ,1737   ,1224   ,1380    ,256    ,345    ,269
199904   ,1721   ,1218   ,1373    ,255    ,344    ,268
199905   ,1709   ,1214   ,1366    ,253    ,342    ,267
199906   ,1700   ,1204   ,1362    ,253    ,341    ,264
199907   ,1790   ,1324   ,1769    ,249    ,331    ,249
199908   ,1765   ,1315   ,1757    ,247    ,328    ,246
199909   ,1752   ,1303   ,1753    ,245    ,326    ,246
199910   ,1732   ,1292   ,1742    ,244    ,324    ,246
199911   ,1716   ,1286   ,1732    ,244    ,324    ,246
199912   ,1695   ,1275   ,1723    ,241    ,324    ,245
200001   ,1678   ,1262   ,1713    ,239    ,321    ,243
200002   ,1666   ,1257   ,1704    ,238    ,320    ,241
200003   ,1657   ,1246   ,1687    ,237    ,320    ,239
200004   ,1643   ,1235   ,1679    ,235    ,318    ,239
200005   ,1633   ,1228   ,1672    ,232    ,316    ,237
200006   ,1621   ,1224   ,1656    ,232    ,313    ,236
200007   ,2334   ,1382   ,1394    ,250    ,334    ,249
200008   ,2315   ,1377   ,1388    ,246    ,330    ,247
