This file was created using the 202403 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199801   ,3.23   ,1.71   ,2.31   ,3.88   ,3.54   ,3.38
199802   ,6.66   ,6.42   ,6.11   ,7.06   ,8.04   ,9.31
199803   ,9.35   ,7.83  ,10.71   ,8.05   ,5.97   ,8.02
199804   ,2.84   ,4.02   ,5.40   ,2.62   ,1.39   ,4.28
199805   ,4.38   ,4.61   ,5.24   ,0.80   ,2.21   ,3.85
199806  ,-4.29  ,-2.79  ,-3.59  ,-1.04   ,0.42   ,1.41
199807  ,-1.72  ,-0.26  ,-0.15  ,-1.08   ,1.32   ,5.80
199808  ,-8.73  ,-9.78 ,-12.87  ,-9.72 ,-10.93 ,-14.20
199809  ,-3.36  ,-3.82  ,-5.14  ,-0.33  ,-3.98  ,-8.23
199810   ,1.82   ,2.45   ,1.47   ,5.31   ,7.35   ,9.47
199811   ,1.36   ,2.03   ,2.51   ,3.14   ,3.67   ,7.21
199812   ,1.23   ,0.28   ,0.95   ,3.23   ,3.96   ,3.35
199901  ,-1.56  ,-1.22   ,2.20  ,-1.71  ,-0.94   ,1.67
199902   ,0.55  ,-0.67   ,0.73  ,-0.15  ,-1.55  ,-3.94
199903   ,1.10   ,0.16  ,-0.51   ,2.09  ,-1.07   ,0.53
199904   ,4.16   ,3.57   ,4.29   ,2.55   ,4.10   ,3.06
199905   ,0.58   ,0.83   ,0.09  ,-2.45  ,-3.20  ,-5.53
199906   ,1.81   ,2.21   ,2.59   ,0.66   ,2.67   ,2.84
199907   ,4.20   ,3.68   ,5.17   ,3.50  ,-0.14  ,-0.16
199908   ,3.68   ,3.22   ,6.24  ,-0.69   ,2.10   ,3.29
199909   ,0.71   ,0.97   ,1.78  ,-0.39  ,-1.14   ,2.31
199910   ,0.21  ,-0.72   ,2.57   ,1.66   ,2.70   ,2.28
199911   ,0.77  ,-0.48   ,5.78   ,2.14   ,1.13   ,8.10
199912   ,4.07   ,3.52   ,7.49   ,8.00   ,7.58  ,16.90
200001   ,0.21  ,-1.59   ,3.53  ,-9.48  ,-8.41  ,-4.23
200002   ,5.23   ,2.37  ,11.20   ,3.47   ,4.48  ,12.10
200003  ,-2.35  ,-0.54  ,-5.37   ,4.02   ,3.37  ,-2.80
200004  ,-7.34  ,-6.22 ,-11.33  ,-6.37  ,-3.00  ,-4.99
200005   ,2.03   ,3.35  ,-2.08   ,2.77   ,1.13  ,-2.90
200006   ,3.49   ,2.83  ,-0.21   ,0.18   ,1.21   ,1.44
200007  ,-1.49  ,-0.33  ,-2.46  ,-1.49  ,-1.40  ,-0.30
200008  ,-0.74  ,-0.41  ,-0.33   ,0.26  ,-1.90  ,-1.30
200009  ,-1.32  ,-1.35  ,-4.04  ,-3.89  ,-4.61  ,-5.49
200010  ,-5.27  ,-5.04 ,-11.74  ,-0.64  ,-1.37  ,-2.40
200011  ,-0.32  ,-1.36 ,-12.22  ,-1.53  ,-3.41  ,-7.17
200012   ,6.51   ,7.45   ,5.75   ,6.77   ,5.70   ,6.21
200101   ,2.29   ,2.79   ,2.35   ,1.20   ,1.23  ,-0.50
200102  ,-1.81  ,-2.09  ,-8.04  ,-4.46  ,-9.51 ,-11.82
200103  ,-7.56  ,-8.25 ,-12.68  ,-8.50  ,-9.06  ,-8.71
200104   ,4.64   ,4.71   ,4.52   ,6.59   ,7.79  ,10.57
200105  ,-1.11  ,-1.43  ,-4.36  ,-3.11  ,-5.30  ,-6.58
200106  ,-1.56  ,-2.85  ,-7.84  ,-1.66  ,-2.72  ,-5.99
200107   ,0.21  ,-0.14  ,-5.02   ,0.54   ,0.06  ,-1.13
200108   ,1.61   ,1.44  ,-1.97   ,0.69   ,0.40  ,-5.83
200109 ,-12.95 ,-14.48 ,-19.24  ,-9.66 ,-13.23  ,-9.99
200110   ,2.43   ,3.43   ,8.14   ,0.98   ,2.92   ,6.10
200111   ,4.69   ,5.55   ,8.70   ,1.68   ,4.15   ,6.40
200112   ,0.81   ,1.69  ,-0.71   ,2.39   ,1.95   ,2.19
200201  ,-1.60  ,-0.44  ,-2.80  ,-3.35  ,-3.39  ,-7.31
200202   ,2.39   ,1.55  ,-2.26   ,3.10   ,0.80  ,-1.54
200203   ,4.83   ,4.57   ,4.97   ,5.04   ,5.72   ,5.48
200204   ,4.22   ,4.90  ,-0.36   ,1.61   ,1.72  ,-4.38
200205   ,4.00   ,3.33  ,-0.04   ,0.55   ,1.84  ,-0.65
200206   ,1.78  ,-0.68  ,-3.62  ,-0.85  ,-2.28  ,-4.70
200207  ,-8.06  ,-6.48  ,-9.64 ,-10.55 ,-11.40  ,-9.85
200208  ,-1.96  ,-0.76  ,-1.25   ,0.10   ,0.94   ,0.07
200209  ,-9.89  ,-9.34 ,-11.85 ,-12.98 ,-14.54 ,-12.06
200210   ,2.30   ,2.62   ,2.16   ,8.81  ,10.62   ,8.68
200211   ,5.31   ,4.03   ,4.69   ,3.98   ,6.97   ,3.50
200212   ,1.23   ,1.91   ,0.73  ,-2.18  ,-4.45  ,-1.99
200301  ,-0.86   ,0.35  ,-2.20  ,-3.01  ,-3.99  ,-3.76
200302  ,-2.90  ,-1.66  ,-3.58  ,-3.75  ,-3.96  ,-1.83
200303  ,-0.25  ,-0.74  ,-0.94  ,-0.59  ,-2.54  ,-0.95
200304  ,12.35  ,10.76  ,10.94  ,11.14  ,15.75  ,12.65
200305  ,10.48   ,9.77  ,11.34   ,8.27   ,7.04   ,7.01
200306   ,3.02   ,2.76   ,3.15   ,1.11   ,0.55   ,1.83
200307   ,4.31   ,2.77   ,2.77   ,2.63   ,1.94  ,-0.15
200308   ,4.87   ,2.65   ,2.34  ,-0.67   ,0.84  ,-0.25
200309   ,5.16   ,6.33   ,5.05   ,2.50   ,2.43   ,2.82
200310   ,7.81   ,5.41   ,4.90   ,7.07   ,6.13   ,5.49
200311   ,4.62   ,5.07   ,4.53   ,5.53   ,3.95   ,3.86
200312   ,5.36   ,5.44   ,6.08   ,7.97   ,7.18   ,7.66
200401   ,8.73   ,5.37   ,5.27   ,3.54   ,2.33  ,-0.28
200402   ,4.91   ,4.00   ,4.19   ,1.77   ,3.45   ,4.39
200403  ,-4.22  ,-1.46  ,-2.23  ,-4.33  ,-3.17  ,-1.98
200404  ,-2.31  ,-0.91  ,-2.08  ,-0.87  ,-1.72  ,-0.59
200405  ,-0.22   ,0.64   ,1.09   ,0.79   ,2.23   ,1.98
200406   ,3.96   ,3.12   ,2.40   ,1.88   ,2.50   ,1.38
200407  ,-3.97  ,-2.24  ,-2.68  ,-3.19  ,-3.44  ,-2.20
200408  ,-0.19   ,0.62   ,0.12   ,0.04   ,0.80   ,0.69
200409   ,4.36   ,4.03   ,4.66   ,3.72   ,4.41   ,4.11
200410   ,4.25   ,4.58   ,4.32   ,4.23   ,4.81   ,3.19
200411   ,9.67   ,9.18   ,8.50   ,6.69   ,7.36   ,6.15
200412   ,4.97   ,4.82   ,5.09   ,4.78   ,4.49   ,3.72
200501   ,2.21   ,2.35   ,2.40  ,-1.83  ,-1.63  ,-0.92
200502   ,6.26   ,5.01   ,5.52   ,4.52   ,4.84   ,4.60
